Sample,Predicted Cluster,Highest Probability Score
Sample_1,3,0.999
Sample_2,0,0.998
Sample_3,0,0.998
Sample_4,6,1.0
Sample_5,2,1.0
Sample_6,2,1.0
Sample_7,0,0.997
Sample_8,3,0.998
Sample_9,6,0.999
Sample_10,3,0.999
Sample_11,0,0.998
Sample_12,4,0.998
Sample_13,6,0.999
Sample_14,3,0.999
Sample_15,2,1.0
Sample_16,0,0.844
Sample_17,3,0.998
Sample_18,2,1.0
Sample_19,3,0.996
Sample_20,6,1.0
Sample_21,2,1.0
Sample_22,3,0.999
Sample_23,6,0.999
Sample_24,3,0.999
Sample_25,6,1.0
Sample_26,3,0.999
Sample_27,4,0.998
Sample_28,3,0.999
Sample_29,4,0.996
Sample_30,3,0.997
Sample_31,3,0.999
Sample_32,0,0.997
Sample_33,4,0.997
Sample_34,6,1.0
Sample_35,3,0.996
Sample_36,3,0.997
Sample_37,6,0.999
Sample_38,4,0.997
Sample_39,4,0.998
Sample_40,4,0.998
Sample_41,0,0.996
Sample_42,3,0.996
Sample_43,4,0.998
Sample_44,4,0.998
Sample_45,3,0.999
Sample_46,0,0.998
Sample_47,0,0.998
Sample_48,0,0.998
Sample_49,6,1.0
Sample_50,0,0.995
